Hourly,Environment:Site Diffuse Solar Radiation Rate per Area[W/m2],Environment:Site Direct Solar Radiation Rate per Area[W/m2],ESTE:Zone Air Relative Humidity[%],OESTE:Zone Air Relative Humidity[%],ESTE:Zone Air Temperature[C],OESTE:Zone Air Temperature[C]
2006-Jan-05 09:00:00,68.08333333333333,753.0,37.48323439930572,37.48332770915602,21.222015549117277,21.221651792087332
2006-Jan-05 10:00:00,84.0,867.1666666666666,37.9228187760169,37.3246018631459,21.05216873719159,21.311642026212667
2006-Jan-05 11:00:00,91.83333333333333,927.3333333333334,37.25749467138771,35.63178247079899,21.355145256581206,22.087651407429792
2006-Jan-05 12:00:00,94.25,959.5,35.75048691526131,32.727074959626506,22.045953507272127,23.50910310975972
2006-Jan-05 13:00:00,91.41666666666667,975.4166666666666,33.52936832952256,29.755397932526378,23.11601996228258,25.1060395774258
2006-Jan-05 14:00:00,86.91666666666667,963.5,30.771573870669386,27.36889982733446,24.5555530031439,26.528569005594736
2006-Jan-05 15:00:00,84.08333333333333,898.6666666666666,28.197499697098575,25.354987356102345,26.031796676045257,27.83858239526566
2006-Jan-05 16:00:00,79.25,756.75,25.84391224224655,23.709724234989036,27.51710017145228,28.99625655289128
2006-Jan-05 17:00:00,55.25,553.25,23.915046143442677,22.509857419747686,28.849824940621943,29.897419515572192
2006-Jan-05 18:00:00,20.166666666666668,243.75,22.58993993462776,21.777994863200643,29.80664010124839,30.443620456407505
2006-Jan-05 19:00:00,0.0,0.0,21.829537958890743,21.560681834698087,30.35173301633847,30.568048763243482
2006-Jan-05 20:00:00,0.0,0.0,21.772691887824788,21.86204183698447,30.375994706702937,30.304786870796775
2006-Jan-05 21:00:00,0.0,0.0,22.265420265156077,22.517410855722698,29.986173421123876,29.790513917814597
2006-Jan-05 22:00:00,0.0,0.0,23.049653967971476,23.338984254463313,29.385290746763445,29.16895446721759
2006-Jan-05 23:00:00,0.0,0.0,24.13988685532452,24.423525839535273,28.586941459016696,28.38583678099447
2006-Jan-06 00:00:00,0.0,0.0,25.430071147147455,25.68469846862148,27.69267177865682,27.52179658833227
2006-Jan-06 01:00:00,0.0,0.0,26.697156781456254,26.882663401070207,26.862362770760786,26.744517101831935
2006-Jan-06 02:00:00,0.0,0.0,27.931611194969378,28.106109445903574,26.095436425289837,25.99012139327218
2006-Jan-06 03:00:00,0.0,0.0,29.178587370429558,29.366869583602092,25.358641573733607,25.250540829231877
2006-Jan-06 04:00:00,0.0,0.0,30.455081033503603,30.675713235274788,24.640408469034693,24.519745940561933
2006-Jan-06 05:00:00,0.0,0.0,31.79876819405383,32.04114566366746,23.920135172318293,23.793883726014382
2006-Jan-06 06:00:00,0.0,0.0,33.0695876413268,33.32668639358547,23.213270946841522,23.08517876491256
2006-Jan-06 07:00:00,0.0,0.0,34.44737465298132,34.711064150838986,22.529952402222253,22.404476676668825
2006-Jan-06 08:00:00,45.166666666666664,389.3333333333333,35.915847506122866,36.180918545630696,21.8952795107547,21.774848340432374
2006-Jan-06 09:00:00,85.08333333333333,669.9166666666666,37.007191643604635,37.12654018044904,21.411435259841777,21.35870558412988
2006-Jan-06 10:00:00,94.16666666666667,843.9166666666666,37.33731920903683,36.93503797194176,21.289573674377927,21.46664115425551
2006-Jan-06 11:00:00,94.41666666666667,934.4166666666666,36.6978370896529,35.39442272723966,21.614918574992686,22.209698164808177
2006-Jan-06 12:00:00,95.83333333333333,966.0833333333334,35.22266630371773,32.59504361306841,22.26618789209839,23.551847452258283
2006-Jan-06 13:00:00,95.5,969.0,33.14229539528986,29.80572441065352,23.29217723768042,25.061558923365073
2006-Jan-06 14:00:00,92.08333333333333,950.5,30.61627866523217,27.572770662561307,24.64884327483031,26.411606588178277
2006-Jan-06 15:00:00,84.75,904.25,28.31610849553456,25.770436305782827,25.960440228198667,27.5602487312924
2006-Jan-06 16:00:00,72.08333333333333,808.0833333333334,26.304010269707643,24.389105021658434,27.212296456379594,28.505977014836674
2006-Jan-06 17:00:00,48.416666666666664,606.1666666666667,24.681844677501743,23.410505879368504,28.29035316863631,29.2013112460628
2006-Jan-06 18:00:00,18.75,257.1666666666667,23.558417201591052,22.831649549554573,29.062645716015453,29.604844786514878
2006-Jan-06 19:00:00,1.1666666666666665,14.999999999999998,22.910676542198416,22.73032464543832,29.520685704525146,29.65778144823463
2006-Jan-06 20:00:00,0.0,0.0,22.871272850882544,23.074445209915893,29.533171136663587,29.380033245109146
2006-Jan-06 21:00:00,0.0,0.0,23.338092193416603,23.718322490398393,29.176249458098557,28.896858324897504
2006-Jan-06 22:00:00,0.0,0.0,24.23706464487445,24.61405628390509,28.52439074716473,28.2587673358711
2006-Jan-06 23:00:00,0.0,0.0,25.45326682244257,25.864613940115376,27.684262988527937,27.410070639815842
2006-Jan-07 00:00:00,0.0,0.0,26.849365970762904,27.17358809936889,26.7730978259743,26.568877095995607
